,year,Sector,sharpe_ratio
306,2020,Materials,3.2302724093408477
249,2020,Industrials,2.3017069468471125
27,2020,Consumer Discretionary,2.2439797935741517
201,2020,Industrials,2.2278315794124133
213,2020,Industrials,2.1804045002329167
294,2020,Materials,2.0189377202439402
24,2020,Communication Services,1.7652527627940964
90,2020,Consumer Staples,1.7627537527395265
300,2020,Materials,1.727505531627001
192,2020,Health Care,1.5175565178589538
216,2020,Industrials,1.490870351151291
258,2020,Information Technology,1.4695306127891634
225,2020,Industrials,1.4404836671396866
273,2020,Information Technology,1.4238741670317279
93,2020,Consumer Staples,1.3670268103068985
204,2020,Industrials,1.3354215979558175
84,2020,Consumer Staples,1.3194955007775229
288,2020,Materials,1.3172587312375252
12,2020,Communication Services,1.2917881490222007
252,2020,Information Technology,1.2752528387418984
102,2020,Consumer Staples,1.269482578694658
237,2020,Industrials,1.2400711000034916
21,2020,Communication Services,1.1912860189532135
36,2020,Consumer Discretionary,1.1906090392413047
303,2020,Materials,1.1893363364713088
276,2020,Information Technology,1.1769248666261214
189,2020,Health Care,1.1766249220033085
222,2020,Industrials,1.1474769210546791
246,2020,Industrials,1.1390599042096838
297,2020,Materials,1.1231322589635668
219,2020,Industrials,1.0948308678657286
312,2020,Materials,1.0798347480873023
72,2020,Consumer Discretionary,1.0581996665986335
264,2020,Information Technology,1.0465278100187192
108,2020,Consumer Staples,1.0381145538011625
261,2020,Information Technology,1.0234440224840713
369,2020,Utilities,1.0073791540225547
45,2020,Consumer Discretionary,0.9964950994826159
210,2020,Industrials,0.9410640385769001
114,2020,Consumer Staples,0.9251896790531275
315,2020,Materials,0.9053032398102029
177,2020,Health Care,0.9026093168648751
195,2020,Health Care,0.8944577332574535
321,2020,Real Estate,0.8905024878090846
48,2020,Consumer Discretionary,0.884143371741425
171,2020,Health Care,0.8646086885404383
78,2020,Consumer Discretionary,0.8259195844711473
174,2020,Health Care,0.8243869674013314
111,2020,Consumer Staples,0.8156938799469273
363,2020,Utilities,0.8120421639252849
243,2020,Industrials,0.8096984407875176
279,2020,Information Technology,0.8061432907214763
33,2020,Consumer Discretionary,0.7939749307649914
66,2020,Consumer Discretionary,0.766007489016887
57,2020,Consumer Discretionary,0.7649543210009897
159,2020,Financials,0.7405559452761908
309,2020,Materials,0.712966311225668
105,2020,Consumer Staples,0.6881431851719384
207,2020,Industrials,0.6750589813763703
51,2020,Consumer Discretionary,0.6667518247262807
15,2020,Communication Services,0.663535935394946
234,2020,Industrials,0.6291946806036408
81,2020,Consumer Discretionary,0.6142807497087533
186,2020,Health Care,0.6039752709165724
228,2020,Industrials,0.582749460048987
30,2020,Consumer Discretionary,0.5669343718893665
354,2020,Real Estate,0.5523313397306964
150,2020,Financials,0.5377120485273124
318,2020,Materials,0.5166276746541663
180,2020,Health Care,0.4883497231917812
69,2020,Consumer Discretionary,0.47190614740879927
183,2020,Health Care,0.4255394996244008
144,2020,Financials,0.4015241758376819
6,2020,Communication Services,0.3920350038196352
60,2020,Consumer Discretionary,0.3609207493365716
135,2020,Financials,0.32915561601483534
270,2020,Information Technology,0.3253529219127966
255,2020,Information Technology,0.3143320271236938
285,2020,Information Technology,0.2702181801647645
147,2020,Financials,0.2634891795561128
138,2020,Financials,0.2178073091675475
231,2020,Industrials,0.21216661788603727
291,2020,Materials,0.1923518978515749
54,2020,Consumer Discretionary,0.17219302517391583
351,2020,Real Estate,0.169624440087958
330,2020,Real Estate,0.16948090589778358
168,2020,Financials,0.12340214959977877
39,2020,Consumer Discretionary,0.11958101380267357
18,2020,Communication Services,0.11789312271105712
267,2020,Information Technology,0.11164389560458653
126,2020,Energy,0.11090488914574068
348,2020,Real Estate,0.0988708546584548
3,2020,Communication Services,0.03746204155873317
282,2020,Information Technology,0.02377945179939637
339,2020,Real Estate,0.022836020129845962
336,2020,Real Estate,-0.05334026558274171
117,2020,Consumer Staples,-0.12597034891479875
156,2020,Financials,-0.14914879357960795
162,2020,Financials,-0.15741333577321973
333,2020,Real Estate,-0.2782586899192604
75,2020,Consumer Discretionary,-0.2970600115846032
327,2020,Real Estate,-0.31669158100993794
0,2020,Communication Services,-0.32323757305030826
342,2020,Real Estate,-0.3390581624576902
141,2020,Financials,-0.3799197461746382
153,2020,Financials,-0.3832026250995693
366,2020,Utilities,-0.41195116760834133
198,2020,Industrials,-0.4668706060916817
120,2020,Energy,-0.4697497751395769
123,2020,Energy,-0.4968776228406357
42,2020,Consumer Discretionary,-0.5445048716733428
132,2020,Energy,-0.5849534812431647
345,2020,Real Estate,-0.5971451103756386
165,2020,Financials,-0.6134744467616202
324,2020,Real Estate,-0.6190654442459614
129,2020,Energy,-0.6608202885326769
357,2020,Utilities,-0.7674153968867631
99,2020,Consumer Staples,-0.8246905493355489
9,2020,Communication Services,-0.8843514590789248
360,2020,Utilities,-0.946401782999275
63,2020,Consumer Discretionary,-1.018796408923856
96,2020,Consumer Staples,-1.2025198826412749
87,2020,Consumer Staples,-1.3694002026253767
240,2020,Industrials,-1.6119898074468018
307,2021,Materials,3.5126607453376018
85,2021,Consumer Staples,2.679228214431834
28,2021,Consumer Discretionary,2.425194468754196
319,2021,Materials,2.345652492267742
160,2021,Financials,2.2916509492441293
175,2021,Health Care,2.209816238299072
103,2021,Consumer Staples,2.161179015989127
214,2021,Industrials,2.1557252658084605
193,2021,Health Care,2.1342168869952807
82,2021,Consumer Discretionary,2.1250607809962987
148,2021,Financials,2.0056297665151637
184,2021,Health Care,1.8392027398000217
337,2021,Real Estate,1.8364191090506439
232,2021,Industrials,1.7396775144637937
211,2021,Industrials,1.7396647748521967
